ID;Ambito;Departamento/Continente;Provincia/Pais;Distrito/Estado;Localidad/Embajada;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
129;NACIONAL;CUSCO;CANCHIS;COMBAPATA;JERONIMO ZAVALA;15590;0;0;0;0;202;0;202;282
130;NACIONAL;CUSCO;CANCHIS;MARANGANI;56025;15620;238;2;240;0;1;0;241;300
131;NACIONAL;CUSCO;CHUMBIVILCAS;CHAMACA;IE 56263 SAN ANTONIO;15785;126;2;128;1;6;0;135;218
132;NACIONAL;CUSCO;CHUMBIVILCAS;CHAMACA;IE 56364 CANGALLE;901136;108;2;110;0;1;0;111;123
133;NACIONAL;CUSCO;CHUMBIVILCAS;CHAMACA;IE DANIEL ALCIDES CARRION;15791;229;1;230;0;5;0;235;300
134;NACIONAL;CUSCO;CHUMBIVILCAS;CHAMACA;IE DANIEL ALCIDES CARRION;15794;221;1;222;0;3;0;225;300
135;NACIONAL;CUSCO;CHUMBIVILCAS;CHAMACA;IE DANIEL ALCIDES CARRION;15795;219;2;221;2;6;0;229;300
136;NACIONAL;CUSCO;CHUMBIVILCAS;CHAMACA;IE DANIEL ALCIDES CARRION;15799;216;0;216;0;2;0;218;300
137;NACIONAL;CUSCO;CHUMBIVILCAS;COLQUEMARCA;IE 56257 COLQUEMARCA;15779;209;0;209;0;18;0;227;300
138;NACIONAL;CUSCO;CHUMBIVILCAS;COLQUEMARCA;IE 56257 COLQUEMARCA;15783;219;1;220;0;9;0;229;300
139;NACIONAL;CUSCO;CHUMBIVILCAS;COLQUEMARCA;IE INTEGRADO 56326;901135;140;2;142;4;9;0;155;189
140;NACIONAL;CUSCO;CHUMBIVILCAS;COLQUEMARCA;IE INTEGRADO N°56324;901132;209;0;209;5;8;0;222;289
141;NACIONAL;CUSCO;CHUMBIVILCAS;COLQUEMARCA;IE LA MERCED;15767;197;2;199;0;3;0;202;286
142;NACIONAL;CUSCO;CHUMBIVILCAS;LIVITACA;IE 56377 CHILLOROYA;901144;160;1;161;0;6;0;167;215
143;NACIONAL;CUSCO;CHUMBIVILCAS;LIVITACA;IE INTEGRADO 56266 LIVITACA;15817;206;1;207;0;8;0;215;300
144;NACIONAL;CUSCO;CHUMBIVILCAS;LIVITACA;IE RAMON PONCE MOLINA;901142;169;2;171;2;5;0;178;209
145;NACIONAL;CUSCO;CHUMBIVILCAS;LIVITACA;IE SAN BARTOLOME;901146;183;1;184;2;5;0;191;236
146;NACIONAL;CUSCO;CHUMBIVILCAS;LIVITACA;IE SAN SEBASTIAN - PRIMARIA;15802;155;2;157;3;8;0;168;258
147;NACIONAL;CUSCO;CHUMBIVILCAS;LIVITACA;IE SAN SEBASTIAN - SECUNDARIA;15804;215;2;217;0;9;0;226;300
148;NACIONAL;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;15829;203;1;204;2;2;0;208;300
149;NACIONAL;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;15831;226;1;227;2;9;0;238;300
150;NACIONAL;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;15832;210;0;210;0;7;0;217;300
151;NACIONAL;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;15837;200;1;201;2;9;0;212;300
152;NACIONAL;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;15838;207;0;207;0;1;0;208;300
